"param_comb_id","lambda","alpha","accuracy","f1","auc","recall","precision","brier_score","balanced_accuracy","discrepancy","default"
6390,0.00154545959916923,0.278145695364238,0.847619047619048,0.911111111111111,0.857058823529412,0.964705882352941,0.863157894736842,0.112513228509791,0.964705882352941,0.019047619047619,FALSE
6391,0.0016940615249229,0.278145695364238,0.847619047619048,0.911111111111111,0.856470588235294,0.964705882352941,0.863157894736842,0.11239318145982,0.964705882352941,0.019047619047619,FALSE
6392,0.00185695210134695,0.278145695364238,0.838095238095238,0.905027932960894,0.856470588235294,0.952941176470588,0.861702127659574,0.112323681061185,0.952941176470588,0.0285714285714286,FALSE
6393,0.00203550523754075,0.278145695364238,0.838095238095238,0.905027932960894,0.856470588235294,0.952941176470588,0.861702127659574,0.11231867944687,0.952941176470588,0.0285714285714286,FALSE
6394,0.00223122694928452,0.278145695364238,0.838095238095238,0.905027932960894,0.856470588235294,0.952941176470588,0.861702127659574,0.112341510048824,0.952941176470588,0.0285714285714286,FALSE
6395,0.00244576806160826,0.278145695364238,0.847619047619048,0.911111111111111,0.855882352941176,0.964705882352941,0.863157894736842,0.112391416935001,0.964705882352941,0.0380952380952381,FALSE
6396,0.00268093813276197,0.278145695364238,0.847619047619048,0.911111111111111,0.856470588235294,0.964705882352941,0.863157894736842,0.112494009037641,0.964705882352941,0.0380952380952381,FALSE
6397,0.00293872071702949,0.278145695364238,0.847619047619048,0.911111111111111,0.858235294117647,0.964705882352941,0.863157894736842,0.112740698973964,0.964705882352941,0.0380952380952381,FALSE
6398,0.003221290095121,0.278145695364238,0.857142857142857,0.917127071823204,0.858235294117647,0.976470588235294,0.864583333333333,0.113086092153043,0.976470588235294,0.0285714285714286,FALSE
6399,0.00353102961325757,0.278145695364238,0.857142857142857,0.917127071823204,0.858235294117647,0.976470588235294,0.864583333333333,0.113365083634496,0.976470588235294,0.0285714285714286,FALSE
6400,0.00387055178562971,0.278145695364238,0.857142857142857,0.917127071823204,0.855294117647059,0.976470588235294,0.864583333333333,0.113635490864437,0.976470588235294,0.0285714285714286,FALSE
6401,0.00424272032978517,0.278145695364238,0.857142857142857,0.917127071823204,0.855294117647059,0.976470588235294,0.864583333333333,0.113878262186243,0.976470588235294,0.0285714285714286,FALSE
6402,0.00465067432080457,0.278145695364238,0.866666666666667,0.923076923076923,0.852941176470588,0.988235294117647,0.865979381443299,0.114194179513524,0.988235294117647,0.0380952380952381,FALSE
6403,0.00509785466799463,0.278145695364238,0.866666666666667,0.923076923076923,0.85235294117647,0.988235294117647,0.865979381443299,0.114338884081028,0.988235294117647,0.0380952380952381,FALSE
6404,0.00558803313741795,0.278145695364238,0.866666666666667,0.923076923076923,0.851176470588235,0.988235294117647,0.865979381443299,0.114330172250237,0.988235294117647,0.0380952380952381,FALSE
6405,0.00612534416505143,0.278145695364238,0.866666666666667,0.923076923076923,0.851764705882353,0.988235294117647,0.865979381443299,0.11418172378828,0.988235294117647,0.0380952380952381,FALSE
6406,0.0067143197289031,0.278145695364238,0.866666666666667,0.923076923076923,0.851176470588235,0.988235294117647,0.865979381443299,0.113841766235912,0.988235294117647,0.0380952380952381,FALSE
6407,0.007359927574218,0.278145695364238,0.866666666666667,0.923076923076923,0.851176470588235,0.988235294117647,0.865979381443299,0.113457732618005,0.988235294117647,0.0380952380952381,FALSE
6408,0.0080676131141857,0.278145695364238,0.866666666666667,0.923076923076923,0.851176470588235,0.988235294117647,0.865979381443299,0.113024072583274,0.988235294117647,0.0380952380952381,FALSE
6409,0.00884334535956309,0.278145695364238,0.866666666666667,0.923076923076923,0.851764705882353,0.988235294117647,0.865979381443299,0.112758862541147,0.988235294117647,0.0380952380952381,FALSE
6410,0.00969366726460823,0.278145695364238,0.866666666666667,0.923076923076923,0.851176470588235,0.988235294117647,0.865979381443299,0.112547607868384,0.988235294117647,0.0380952380952381,FALSE
6411,0.0106257509139708,0.278145695364238,0.866666666666667,0.923076923076923,0.85,0.988235294117647,0.865979381443299,0.112412004284946,0.988235294117647,0.0380952380952381,FALSE
6412,0.0116474580160159,0.278145695364238,0.866666666666667,0.923076923076923,0.849411764705882,0.988235294117647,0.865979381443299,0.112105474373643,0.988235294117647,0.0380952380952381,FALSE
6413,0.0127674062128147,0.278145695364238,0.866666666666667,0.923076923076923,0.85235294117647,0.988235294117647,0.865979381443299,0.111712378414503,0.988235294117647,0.0380952380952381,FALSE
6414,0.0139950417660984,0.278145695364238,0.866666666666667,0.923076923076923,0.851764705882353,0.988235294117647,0.865979381443299,0.111486601991048,0.988235294117647,0.0380952380952381,FALSE
6415,0.0153407192322471,0.278145695364238,0.857142857142857,0.918032786885246,0.855294117647059,0.988235294117647,0.857142857142857,0.111132950229096,0.988235294117647,0.0285714285714286,FALSE
6416,0.0168157887983385,0.278145695364238,0.857142857142857,0.918032786885246,0.86,0.988235294117647,0.857142857142857,0.110647694754231,0.988235294117647,0.0285714285714286,FALSE
6417,0.0184326920158949,0.278145695364238,0.857142857142857,0.918032786885246,0.86235294117647,0.988235294117647,0.857142857142857,0.110071868273909,0.988235294117647,0.0285714285714286,FALSE
6418,0.0202050667398015,0.278145695364238,0.847619047619048,0.91304347826087,0.864705882352941,0.988235294117647,0.848484848484849,0.109594928149841,0.988235294117647,0.0380952380952381,FALSE
6419,0.0221478621575076,0.278145695364238,0.847619047619048,0.91304347826087,0.868823529411765,0.988235294117647,0.848484848484849,0.109198754018122,0.988235294117647,0.0380952380952381,FALSE
6420,0.0242774648787316,0.278145695364238,0.847619047619048,0.91304347826087,0.87,0.988235294117647,0.848484848484849,0.108885041546893,0.988235294117647,0.0380952380952381,FALSE
6421,0.0266118371491785,0.278145695364238,0.847619047619048,0.91304347826087,0.868823529411765,0.988235294117647,0.848484848484849,0.108715276331138,0.988235294117647,0.0380952380952381,FALSE
6422,0.0291706683540427,0.278145695364238,0.847619047619048,0.91304347826087,0.871764705882353,0.988235294117647,0.848484848484849,0.108819269290792,0.988235294117647,0.0380952380952381,FALSE
6423,0.0319755410891583,0.278145695364238,0.857142857142857,0.918918918918919,0.87235294117647,1,0.85,0.108927114126631,1,0.0476190476190476,FALSE
6424,0.0350501132005346,0.278145695364238,0.857142857142857,0.918918918918919,0.871176470588235,1,0.85,0.108997404257192,1,0.0476190476190476,FALSE
6425,0.0384203173276975,0.278145695364238,0.847619047619048,0.913978494623656,0.87,1,0.841584158415842,0.109066115548251,1,0.0571428571428571,FALSE
6426,0.0421145796338957,0.278145695364238,0.847619047619048,0.913978494623656,0.868235294117647,1,0.841584158415842,0.109310135424701,1,0.0571428571428571,FALSE
6427,0.0461640595680638,0.278145695364238,0.847619047619048,0.913978494623656,0.868823529411765,1,0.841584158415842,0.109915540024984,1,0.0571428571428571,FALSE
6428,0.0506029126808267,0.278145695364238,0.847619047619048,0.913978494623656,0.864117647058824,1,0.841584158415842,0.110621501725895,1,0.0571428571428571,FALSE
6429,0.05546857871128,0.278145695364238,0.838095238095238,0.909090909090909,0.862941176470588,1,0.833333333333333,0.111288159244145,1,0.0666666666666667,FALSE
6430,0.0608020973744313,0.278145695364238,0.838095238095238,0.909090909090909,0.863529411764706,1,0.833333333333333,0.112068046607942,1,0.0666666666666667,FALSE
6431,0.0666484545128255,0.278145695364238,0.838095238095238,0.909090909090909,0.864705882352941,1,0.833333333333333,0.11302809314175,1,0.0666666666666667,FALSE
6432,0.0730569615319905,0.278145695364238,0.838095238095238,0.909090909090909,0.865882352941176,1,0.833333333333333,0.114174841318542,1,0.0666666666666667,FALSE
6433,0.0800816713200701,0.278145695364238,0.838095238095238,0.909090909090909,0.857647058823529,1,0.833333333333333,0.115473948759755,1,0.0666666666666667,FALSE
6434,0.0877818341597407,0.278145695364238,0.828571428571429,0.904255319148936,0.858823529411765,1,0.825242718446602,0.116548373459705,1,0.0761904761904762,FALSE
6435,0.0962223974778236,0.278145695364238,0.819047619047619,0.899470899470899,0.859411764705882,1,0.817307692307692,0.117530760043507,1,0.0857142857142857,FALSE
6436,0.105474553647759,0.278145695364238,0.819047619047619,0.899470899470899,0.861764705882353,1,0.817307692307692,0.118558325146061,1,0.0857142857142857,FALSE
6437,0.11561634046541,0.278145695364238,0.819047619047619,0.899470899470899,0.866470588235294,1,0.817307692307692,0.119711963268007,1,0.0857142857142857,FALSE
6438,0.126733299362936,0.278145695364238,0.819047619047619,0.899470899470899,0.86764705882353,1,0.817307692307692,0.121012825104809,1,0.0857142857142857,FALSE
6439,0.138919196912489,0.278145695364238,0.819047619047619,0.899470899470899,0.865882352941176,1,0.817307692307692,0.122489640453296,1,0.0857142857142857,FALSE
6440,0.152276815705272,0.278145695364238,0.819047619047619,0.899470899470899,0.86764705882353,1,0.817307692307692,0.124143666473093,1,0.0857142857142857,FALSE
6441,0.166918821276692,0.278145695364238,0.819047619047619,0.899470899470899,0.867058823529412,1,0.817307692307692,0.125953044772821,1,0.0857142857142857,FALSE
6442,0.18296871238972,0.278145695364238,0.819047619047619,0.899470899470899,0.86764705882353,1,0.817307692307692,0.127978606997597,1,0.0857142857142857,FALSE
6443,0.200561862691674,0.278145695364238,0.80952380952381,0.894736842105263,0.868235294117647,1,0.80952380952381,0.130246852885262,1,0.0952380952380952,FALSE
6444,0.219846662530342,0.278145695364238,0.80952380952381,0.894736842105263,0.865294117647059,1,0.80952380952381,0.132652996725764,1,0.0952380952380952,FALSE
6445,0.24098577056014,0.278145695364238,0.80952380952381,0.894736842105263,0.865294117647059,1,0.80952380952381,0.135301141443791,1,0.0952380952380952,FALSE
6446,0.264157485695055,0.278145695364238,0.80952380952381,0.894736842105263,0.864117647058824,1,0.80952380952381,0.138240851194409,1,0.0952380952380952,FALSE
6447,0.289557250980174,0.278145695364238,0.80952380952381,0.894736842105263,0.869411764705882,1,0.80952380952381,0.141329193432258,1,0.0952380952380952,FALSE
6448,0.317399302066287,0.278145695364238,0.80952380952381,0.894736842105263,0.87,1,0.80952380952381,0.144705909068527,1,0.0952380952380952,FALSE
6449,0.347918474191703,0.278145695364238,0.80952380952381,0.894736842105263,0.861176470588235,1,0.80952380952381,0.148016726203036,1,0.0952380952380952,FALSE
6450,0.38137218291237,0.278145695364238,0.80952380952381,0.894736842105263,0.826764705882353,1,0.80952380952381,0.151370586634368,1,0.0952380952380952,FALSE
6451,0.418042595286867,0.278145695364238,0.80952380952381,0.894736842105263,0.778235294117647,1,0.80952380952381,0.153330901984378,1,0.0952380952380952,FALSE
